<td>Sat 5 Oct 1:04:26 AM</td>,<td>Trojan.Exploit.Html.Iframe.Filedownload.GW</td>,<td class="type_infection">infection</td>,<td>United States</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:28 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>United States</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:28 AM</td>,<td>Trojan.Zmutzemo.2</td>,<td class="type_infection">infection</td>,<td>Chile</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:27 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>United States</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:25 AM</td>,<td>Trojan.GenericKD.32197302</td>,<td class="type_infection">infection</td>,<td>Iran</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:27 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>Italy</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:27 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>United States</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:25 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>Italy</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:27 AM</td>,<td>Application.Hacktool.KMSActivator.AI</td>,<td class="type_infection">infection</td>,<td>Mexico</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:26 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>Belgium</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:25 AM</td>,<td>Win32.Worm.Nimda.R</td>,<td class="type_infection">infection</td>,<td>South Africa</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:24 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>United States</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:26 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>India</td>,<td>n/a</td>
<td>Sat 5 Oct 1:03:45 AM</td>,<td>N/A</td>,<td class="type_attack">attack</td>,<td>United States</td>,<td>Canada</td>
<td>Sat 5 Oct 1:04:22 AM</td>,<td>Worm.Generic.914973</td>,<td class="type_infection">infection</td>,<td>Panama</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:22 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>United States</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:20 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>Spain</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:21 AM</td>,<td>DeepScan:Generic.Malware.SYddld.84B03C9E</td>,<td class="type_infection">infection</td>,<td>Peru</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:22 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>United States</td>,<td>n/a</td>
<td>Sat 5 Oct 1:04:22 AM</td>,<td>N/A</td>,<td class="type_spam">spam</td>,<td>Republic of Lithuania</td>,<td>n/a</td>
